Image Name, blue_trushcan 0, bluething 0, dust_bin 0, graybox 0, matal_door 0, matal_door 1, matal_door 2, metal_door2 0, metal_door2 1, red_chair 0, robot2 0, robot 0, robot 1, stairs 0
643.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1110.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1120.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1130.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1131.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1140.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1150.jpg, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1175.jpg, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
1195.jpg, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
1219.jpg, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
1222.jpg, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
1251.jpg, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
1268.jpg, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
1822.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1842.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1862.jpg, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1968.jpg, 2, 0, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 0
1987.jpg, 2, 2, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 2
2012.jpg, 2, 2, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 2
2030.jpg, 2, 0, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 0
2047.jpg, 2, 0, 0, 0, 0, 0, 0, 2, 2, 3, 0, 1, 1, 0
2082.jpg, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0
2106.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
2155.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2165.jpg, 0, 1, 3, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1
2170.jpg, 0, 1, 3, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1
2171.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2175.jpg, 0, 1, 1, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1
2185.jpg, 0, 1, 3, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1
2195.jpg, 0, 1, 3, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1
2234.jpg, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 3
2248.jpg, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 3
3434.jpg, 2, 2, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 2
3449.jpg, 2, 0, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 0
3454.jpg, 2, 0, 2, 0, 0, 0, 0, 2, 2, 1, 0, 1, 1, 0
3474.jpg, 2, 0, 0, 0, 0, 0, 0, 2, 2, 3, 0, 1, 1, 0
3523.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
3533.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
3553.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
3563.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
3590.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
4197.jpg, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
4330.jpg, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0
4333.jpg, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0
6755.jpg, 0, 3, 1, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1
